Restaurant Name,Ratings,Address,Contact Number
Rudrapriy Restaurant  Roof ..,4.0,"PK- A-2, Sector 122, Noida - 201307","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-vu,mobilesv icon-acb,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-nm"
Vaishnav Dhabha,4.3,"102/B, Mathura Road, Ashram, Delhi - 110014, Near Ashram Chowk","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-po,mobilesv icon-nm,mobilesv icon-vu,mobilesv icon-nm,mobilesv icon-lk"
The Koolcha Station,4.7,"Shop No-12,A-4 Block DDA Gol Market, Paschim Vihar, Delhi - 110063, Near Pashim Vihar East Metro Station","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-yz,mobilesv icon-ba,mobilesv icon-po,mobilesv icon-po,mobilesv icon-yz,mobilesv icon-acb,mobilesv icon-vu,mobilesv icon-po,mobilesv icon-vu,mobilesv icon-wx"
Punjabi Angithi,4.1,"Shop No, 32-22, A-4 DDA Market, Paschim Vihar, Delhi - 110063, Near Balaji Action Hospital & Saakshara Appartment","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-ji,mobilesv icon-ji,mobilesv icon-lk,mobilesv icon-yz"
Shudh Annapurna,3.9,"T-2506, Opp 7 Naiwala, Karol Bagh, Delhi - 110005, Ilahi Bux Road","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-acb,mobilesv icon-wx,mobilesv icon-rq,mobilesv icon-rq"
New Sanjhi Rasoi,4.0,"Shop No-23, Palam Dabri Road, Mahavir Enclave, Delhi - 110045, Chaudhary Harphool Singh Market","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-lk,mobilesv icon-yz,mobilesv icon-yz"
Shiv Indian & Chinese Cuisi..,4.0,"B 39, Kalkaji, Delhi - 110019, Near HDFC Bank","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-lk,mobilesv icon-ts,mobilesv icon-ts,mobilesv icon-nm"
Food Sixteen,4.1,"Plot No-A-16, Gtk Road, Adarsh Nagar, Delhi - 110033, Near Adarsh Nagar Metro Station","mobilesv icon-acb,mobilesv icon-nm,mobilesv icon-ji,mobilesv icon-ts,mobilesv icon-nm,mobilesv icon-wx,mobilesv icon-yz,mobilesv icon-rq,mobilesv icon-ji,mobilesv icon-vu,mobilesv icon-nm"
La Taj Hospitality Services,4.0,"Scf-151, ,Huda Shopping Complex, Main Market, Faridabad Sector 37, Faridabad - 121001","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-yz,mobilesv icon-wx,mobilesv icon-ji,mobilesv icon-ba,mobilesv icon-ts,mobilesv icon-acb,mobilesv icon-acb,mobilesv icon-ts,mobilesv icon-vu,mobilesv icon-rq,mobilesv icon-rq"
Rai Singh Amritsari Kulcha,4.4,"Shop 59 & 60, B Block, MSP Mall, Dsidc, Narela Industrial Area, Delhi - 110040","mobilesv icon-dc,mobilesv icon-fe,mobilesv icon-ji,mobilesv icon-yz,mobilesv icon-hg,mobilesv icon-ba,mobilesv icon-nm,mobilesv icon-ts,mobilesv icon-yz,mobilesv icon-ji,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-vu,mobilesv icon-rq,mobilesv icon-rq,mobilesv icon-rq"
